sub_id,session,run,red_idx,green_idx,value
MET000,2,1,0,7,1.4557151912801749
MET000,2,1,0,8,1.4648942604834174
MET000,2,1,0,9,1.5283209571290963
MET000,2,1,1,0,1.4190047199956963
MET000,2,1,1,1,1.6256912168201327
MET000,2,1,1,2,1.7295796239599517
MET000,2,1,1,3,1.7037339605314774
MET000,2,1,1,4,1.7926821215583713
MET000,2,1,1,5,1.4180645448540661
MET000,2,1,1,6,1.5989434810595906
MET000,2,1,1,7,1.5443106469661776
MET000,2,1,1,8,1.6647679807745497
MET000,2,1,1,9,1.7515706699704836
MET000,2,1,2,0,1.895737984084352
MET000,2,1,2,1,1.7242304754684583
MET000,2,1,2,2,1.7428904021114406
MET000,2,1,2,3,1.5232901336355555
MET000,2,1,2,4,1.3729633589892936
MET000,2,1,2,5,1.6643330590155423
MET000,2,1,2,6,1.4576938119842096
MET000,2,1,2,7,1.5714339646817546
MET000,2,1,2,8,1.5832298300607968
MET000,2,1,2,9,1.6960812074267302
MET000,2,1,3,0,2.0624120457232573
MET000,2,1,3,1,1.9598626780535211
MET000,2,1,3,2,1.4919267635978375
MET000,2,1,3,3,1.5991800248530148
MET000,2,1,3,4,1.4284369541209945
MET000,2,1,3,5,0.8418041499468133
MET000,2,1,3,6,1.3129351760467065
MET000,2,1,3,7,1.3799826800699606
MET000,2,1,3,8,1.5297727622163115
MET000,2,1,3,9,1.7036939975305871
MET000,2,1,4,0,1.8275942549086164
MET000,2,1,4,1,1.8416500118996944
MET000,2,1,4,2,1.8450539228269056
MET000,2,1,4,3,1.4765279077823723
MET000,2,1,4,4,1.1101753000765688
MET000,2,1,4,5,1.1921765606989572
MET000,2,1,4,6,0.98005061848078845
MET000,2,1,4,7,1.4681972139435826
MET000,2,1,4,8,1.5114427940847288
MET000,2,1,4,9,1.5769452578554826
MET000,2,1,5,0,1.946719693483048
MET000,2,1,5,1,1.9132048268985868
MET000,2,1,5,2,1.6368115273288308
MET000,2,1,5,3,1.6100216996514494
MET000,2,1,5,4,1.263661092973575
MET000,2,1,5,5,1.6957176044129094
MET000,2,1,5,6,1.5343454358717381
MET000,2,1,5,7,1.5093338318574634
MET000,2,1,5,8,1.4647954289485077
MET000,2,1,5,9,1.5923759331774454
MET000,2,1,6,0,1.8994587846049709
MET000,2,1,6,1,1.6939661943146689
MET000,2,1,6,2,1.6877023138701099
MET000,2,1,6,3,1.5530196236981106
MET000,2,1,6,4,1.5078930150607917
MET000,2,1,6,5,1.6219547746698384
MET000,2,1,6,6,1.5690479015981071
MET000,2,1,6,7,1.6019219025098894
MET000,2,1,6,8,1.7108048569703078
MET000,2,1,6,9,1.3945837569835968
MET000,2,1,7,0,1.855926499620286
MET000,2,1,7,1,1.8366969413005449
MET000,2,1,7,2,1.562212767037185
MET000,2,1,7,3,1.877864872618644
