sub_id,session,run,trial,value
MET017,2,2,1,0.5647511240195372
MET017,2,2,2,0.75397424002015034
MET017,2,2,3,0.80953477488228642
MET017,2,2,4,1.028277433253256
MET017,2,3,1,0.72252104664216565
MET017,2,3,2,0.6043784243304825
MET017,2,3,3,0.60007866109858177
MET017,2,3,4,0.70934839666532545
MET017,2,4,1,0.88755302288661342
MET017,2,4,2,0.76595688616398205
MET017,2,4,3,0.7293416415978905
MET017,2,4,4,0.79879771243447217
MET018,1,1,1,0.82584308762028202
MET018,1,1,2,0.87256677611720845
MET018,1,1,3,0.69505011436317254
MET018,1,1,4,0.88194242741362772
MET018,1,2,1,0.94342907535428577
MET018,1,2,2,0.80942135375749558
MET018,1,2,3,0.68479893471017672
MET018,1,2,4,1.0662191173355675
MET018,1,3,1,0.73500299320370022
MET018,1,3,2,0.94728727172929639
MET018,1,3,3,0.73450859728892404
MET018,1,3,4,0.83430192160147743
MET018,1,4,1,0.9275686191885496
MET018,1,4,2,1.0236835238222302
MET018,1,4,3,0.92934692835045785
MET018,1,4,4,0.74379591639988152
MET018,2,1,1,0.83539723643726727
MET018,2,1,2,0.81940586483675693
MET018,2,1,3,0.78525041263303175
MET018,2,1,4,0.85757855998007626
MET018,2,2,1,0.87181390033114592
MET018,2,2,2,0.83449169838184223
MET018,2,2,3,0.80719733943048755
MET018,2,2,4,0.86746426715172353
MET018,2,3,1,0.93485953744935035
MET018,2,3,2,1.0007467392437033
MET018,2,3,3,0.85262658738674424
MET018,2,3,4,0.89014879702385008
MET018,2,4,1,0.83201957210270072
MET018,2,4,2,0.8186550164523726
MET018,2,4,3,1.0455395684417259
MET018,2,4,4,1.0718254566862873
MET019,1,1,1,0.8665477402022147
MET019,1,1,2,0.72645938507981545
MET019,1,1,3,0.76888559186883976
MET019,1,1,4,0.72699575287538687
MET019,1,2,1,0.62324474622021087
MET019,1,2,2,0.82915038192381485
MET019,1,2,3,0.68916060700318205
MET019,1,2,4,0.78342157520143818
MET019,1,3,1,0.74543189506112961
MET019,1,3,2,0.77697599015212016
MET019,1,3,3,0.785982237805952
MET019,1,3,4,0.76499672314053413
MET019,1,4,1,0.78317876746091175
MET019,1,4,2,0.70935957860296883
MET019,1,4,3,0.76770469976751377
MET019,1,4,4,0.81083640135389135
MET020,1,1,1,0.74252119253941151
MET020,1,1,2,0.67045253486632228
MET020,1,1,3,0.56919390829038086
MET020,1,1,4,0.8288708391549886
MET020,1,2,1,0.81639993731258631
MET020,1,2,2,0.80078434232810392
MET020,1,2,3,0.70440126818592452
MET020,1,2,4,0.77522363154022023
MET020,1,3,1,0.76111863329278195
MET020,1,3,2,0.77393950790874744
MET020,1,3,3,0.7063526750886302
MET020,1,3,4,0.77778841178657365
MET020,1,4,1,0.65278938743014003
MET020,1,4,2,0.76869736495498053
MET020,1,4,3,0.63084900907802455
MET020,1,4,4,0.72398941651065718
MET021,1,1,1,0.76171214829138367
MET021,1,1,2,0.90091564419284642
MET021,1,1,3,0.7940835998271587
MET021,1,1,4,0.81934381075616791
MET021,1,2,1,0.75372451806934038
MET021,1,2,2,0.76579981223152427
MET021,1,2,3,0.79675309444892328
MET021,1,2,4,0.78366389571811834
MET021,1,3,1,0.8183406779630964
MET021,1,3,2,0.7724311131651509
MET021,1,3,3,0.90825869246178625
MET021,1,3,4,0.84678103851355035
MET021,1,4,1,0.78796997709133176
MET021,1,4,2,0.85327064823969023
MET021,1,4,3,0.86853937251832225
MET021,1,4,4,0.7327727814607915
MET021,2,1,1,0.69766625630940104
MET021,2,1,2,0.78999858281371171
MET021,2,1,3,0.88144917745600082
MET021,2,1,4,0.81381632297585393
MET021,2,2,1,0.82203344266272804
MET021,2,2,2,0.69408566782591175
MET021,2,2,3,0.96134367620913275
MET021,2,2,4,0.94296359397053564
MET021,2,3,1,0.84765023176214493
